episode_number,pitch_number,brand_name,idea,Mega_Big_Category_idea,deal,pitcher_ask_amount,ask_equity,ask_valuation,deal_amount,deal_equity,deal_valuation,ashneer_present,anupam_present,aman_present,namita_present,vineeta_present,peyush_present,ghazal_present,ashneer_deal,anupam_deal,aman_deal,namita_deal,vineeta_deal,peyush_deal,ghazal_deal,total_sharks_invested,amount_per_shark,equity_per_shark,ROI,ask_bin,equity_per_shark,Valuation,Valuation_category
14,40,The Renal Project,Home Dialysis Treatment,Health & Wellness,TRUE,100,3,3333,100,6,1667,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,50,3,1666.666667,51-100,3,1666.666667,High Valuation
14,41,Morikko Pure Foods,Healthy Food Snacks,Food & Agriculture,FALSE,100,3,3333,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,51-100,0,0,Very Low Valuation
14,42,Good Good Piggy Bank,Digital Piggy Bank,FinTech,FALSE,45,5,900,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,0-50,0,0,Very Low Valuation
15,43,Hammer Lifestyle,Smart Audio Products,Technology & SaaS,TRUE,30,3,1000,100,40,250,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,100,40,250,0-50,40,250,Low Valuation
15,44,PNT,Robotics and Automation Solutions,Industrial & Infrastructure,TRUE,50,4,1250,25,25,100,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,25,25,100,0-50,25,100,Very Low Valuation
15,45,Cocofit,Coconut based beverage franchise,Food & Agriculture,TRUE,5,5,100,5.00E-05,5,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,3,1.67E-05,1.666666667,0.001,0-50,1.666666667,0.001002,Very Low Valuation
16,46,Bamboo India,Bamboo Products,Social Impact & Sustainability,TRUE,80,4,2000,50,3.5,1429,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,25,1.75,1428.571429,51-100,1.75,1428.571429,Moderate Valuation
16,47,Flying Furr,Dog Hygiene,Consumer Products & Lifestyle,FALSE,75,7,1071,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,51-100,0,0,Very Low Valuation
16,48,Beyond Water,Liquid Water Enhancer,Food & Agriculture,TRUE,75,4,1875,75,15,500,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2,37.5,7.5,500,51-100,7.5,500,Low Valuation
16,49,Let's Try,Healthy Snacks,Food & Agriculture,TRUE,45,2,2250,45,12,375,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,22.5,6,375,0-50,6,375,Low Valuation
17,50,Find Your Kicks India,Sneaker Resale,Consumer Products & Lifestyle,TRUE,50,10,500,50,25,200,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,5,10,5,200,0-50,5,200,Low Valuation
17,51,Aas Vidyalaya,EdTech App,Technology & SaaS,TRUE,150,3,5000,150,15,1000,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,3,50,5,1000,101-200,5,1000,Moderate Valuation
17,52,Outbox,Premium Surprise-Planning,Consumer Products & Lifestyle,FALSE,50,5,1000,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,0-50,0,0,Very Low Valuation
17,53,RoadBounce,Pothole Detection Software and Data,Technology & SaaS,TRUE,80,10,800,80,20,400,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,80,20,400,51-100,20,400,Low Valuation
18,54,Mommy's Kitchen,Thin Crust Pizza,Food & Agriculture,FALSE,90,3,3000,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,,51-100,0,0,Very Low Valuation
